Article,Origin_City,article_length,Date,since_Date_years,Heading,NewsType,rownumber
"HONG KONG: Hong Kong stocks rose 0.70 percent in the first few minutes of trade Monday after China´s central bank at the weekend cut interest rates for the second time since November.The benchmark Hang Seng Index added 173.47 points to 24,996.76.",HONG KONG,246,2015-03-02T00:00:00.000Z,10,hong kong stocks open 0.70 percent higher,business,68
"ISLAMABAD: Pakistan's central bank has received $500 million from the International Monetary Fund (IMF) as the sixth loan tranche of an ongoing aid arrangement to support economic reforms and growth, sources told Geo News on Wednesday.Sources said that the State Bank of Pakistan (SBP) has already received the funds and that the country's foreign reserves have now swelled up to $16.5bn as a result.Investor outlook at capital markets in the country appeared optimistic on reports of release of the IMF installment, with the benchmark Karachi Stock exchange 100 index witnessing an upward trend and gains of 550 at the start of trading today.",ISLAMABAD,643,2015-04-01T00:00:00.000Z,9,imf disburses 500mn loan tranche to paki,business,101
"London: Oil prices nudged higher on Friday, further recovering from a steep dive seen mid-week, although demand is set to remain shackled by a global supply glut, analysts said.US benchmark West Texas Intermediate for delivery in May edged up one cent to $50.80 a barrel.Brent North Sea crude for May gained 27 cents to $56.84 around midday in London.WTI and Brent sank 3.6 percent on Wednesday after the US Department of Energy said commercial inventories in the world´s biggest economy hit a record high last week.That came after Saudi Arabia´s Oil Minister Ali al-Naimi said his country´s production had hit an all-time high of 10.3 million barrels a day in March.Phil Flynn, an analyst at Price Futures Group, has said this week that rising imports of US crude oil could indicate improved demand prospects in the world´s largest oil consumer or concerns about supply tightening.Price support has meanwhile come from events concerning major oil producer Iran.Analysts attributed steep gains at the start of the week to investors concluding that the nuclear framework agreed between Iran and international powers will have a minimal near-term effect on global crude supplies.The deal Tehran agreed with the United States, Britain, China, France and Russia plus Germany paves the way for the Islamic republic to curtail its nuclear activity in exchange for relief from punishing economic sanctions, including on oil investment.The United States on Thursday warned that sanctions on Iran will be lifted in stages as a nuclear deal is implemented, after Tehran demanded they be removed as soon as it comes into force.""Geopolitical factors remain a constant worry for investors with concerns regarding Iran´s nuclear programme potentially leading to ongoing volatility in the crude oil market,"" said Kash Kamal, senior research analyst at Sucden brokerage. (AFP)",London,1860,2015-04-10T00:00:00.000Z,9,oil prices edge higher,business,109
"ISLAMABAD: Federal Minister for Planning and Development Ahsan Iqbal said on Wednesday that out of a total of 46 billion dollars, 37 billion is pure Chinese investment, while remaining are soft loans.Addressing a media conference along with Information Minister Pervaiz Rashid in Islamabad today, he said the Chinese government will subsidise concessionary part for Chinese companies working on infrastructure related projects under the China-Pakistan Economic Corridor (CPEC). He went on to say that said all energy related projects would be implemented in investment mode, adding that the foundations of projects worth 28 billion dollars have been laid.Iqbal further said all the projects would be completed within the stipulated time and no incompetence will be tolerated regarding completion of the projects. The minister also said that the CPEC will transform starvation ridden Thar into an energy hub.",ISLAMABAD,907,2015-04-22T00:00:00.000Z,9,37 bn is pure chinese investment while remaining are soft loans ahsan iqb,business,119
"Hong Kong: Asian markets slipped Wednesday after more weak US data raised questions about the health of the world´s top economy, while the dollar edged down as an early interest rate rise looks increasingly unlikely.The euro continued to hold its own, with investors hopeful that Greece will be able to hammer out a bailout reform deal with creditors and avert a default.Sydney plunged 1.85 percent, or 109.9 points, to 5,838.6, with big banks leading the decline as hopes of another interest rate cut waned. Seoul closed 0.23 percent lower, giving up 5.04 points to 2,142.63.Hong Kong ended 0.15 percent lower, shedding 42.41 points to 28,400.34, but Shanghai recovered from early losses to close flat -- edging up 0.41 points to 4,476.62.Tokyo was closed for a public holiday.With few major catalysts, regional investors are focusing on the Federal Reserve´s two-day meeting, which wraps up later in the day.While the US central bank will not announce any policy move, its statement will be pored over for any guidance on interest rates.On Tuesday the Conference Board reported its index of consumer confidence tumbled in March instead of rising as expected. Consumers reported growing pessimism about current and short-term US economic conditions.A series of disappointing indicators has fuelled speculation the US central bank will want to wait to increase rates, which have been pegged at zero since 2008. The Fed had signalled a possible rise as early as June, but analysts now expect it in September at the earliest.Wednesday will also see the release of the government´s first estimate on first-quarter economic growth, with analysts forecasting 1.0 percent, down from a 2.2 percent pace in the previous three months.However, on Wall Street Tuesday the Dow added 0.40 percent and the S&P 500 rose 0.28 percent. But the Nasdaq eased 0.10 percent.- Euro holds strength -The diminishing prospect of an early rate increase has weighed on the dollar, which fell to 118.88 yen in New York Tuesday from 119.10 yen earlier in the day in Tokyo. On Wednesday in Asia the greenback was at 118.82 yen.The euro was at $1.0998 and $130.90 against $1.0981 and 130.55 yen in US trade. It was sharply up from $1.0880 and 129.54 yen in Tokyo Tuesday.Even though talks between Greece´s government and its creditors are dragging on, there is hope for an agreement on the bailout that will unlock billions of euros, allowing Athens to avert a default and stay in the eurozone.Investors cheered Prime Minister Alexis Tsipras´ decision to reshuffle his negotiating team, while he has also expressed confidence in a compromise.According to press reports Greece´s hard-left, anti-austerity leadership could also be prepared to adopt some reforms previously rejected, including a reinforced tax collection system, taxing television adverts and ramping up levies on luxury goods.Oil prices inched lower ahead of the release of the latest US supply report. US benchmark West Texas Intermediate fell 32 cents to $56.74 while Brent crude slipped 18 cents to $64.46.Gold fetched $1,208.05 against $1,201.29 late Tuesday.In other markets:-- Singapore fell 0.23 percent, or 7.94 points, to 3,487.15.United Overseas Bank declined 2.16 percent to Sg$24.42 while investment holding firm Ezion slid 5.24 percent to Sg$1.17.-- Bangkok was down 0.59 percent, or 9.06 points, to 1,522.47.Oil company PTT Exploration and Production lost 3.36 percent to 115.00 baht, while Siam Cement fell 2.19 percent to 536.00 baht.-- Kuala Lumpur slipped 0.65 percent, or 12.13 points, to 1,842.93.AMMB Holdings gained 0.46 percent to 6.49 ringgit while Public Bank ended 0.51 percent lower at 19.70 ringgit. Telekom Malaysia fell 0.27 percent to 7.47 ringgit.-- Jakarta was down 2.34 percent, or 122.87 points, to 5,119.29.Palm oil producer Astra Agro Lestari fell 1.85 percent to 19,925 rupiah while lender Bank Permata rose 1.25 percent to 1,620 rupiah.-- Taipei lost 1.03 percent, or 103.00 points, to end at 9,853.83.Smartphone maker HTC shed 5.7 percent to Tw$124.0 while Taiwan Semiconductor Manufacturing Co. was 1.98 percent lower at Tw$148hk.5.-- Wellington fell 0.50 percent, or 28.84 points, to 5,740.82.Air New Zealand shed 1.09 percent to NZ$2.715 and Fletcher Building was down 0.36 percent at NZ$8.21.-- Manila lost 0.77 percent, or 61.10 points, to 7,825.47.Shopping mall operator SM Prime Holdings fell 1.44 percent to 19.12 pesos, Metrobank was down 1.85 percent at 93 pesos and Banco de Oro sank 2.23 percent to 109.50 pesos.-- Mumbai declined 0.62 percent, or 170.45 points, to 27,225.93.Telecom major Bharti Airtel shed 3.32 percent to 387.50 rupees while Axis Bank rose 3.30 percent to 552.90 rupees. (AFP)",Hong Kong,4682,2015-04-29T00:00:00.000Z,9,asian stocks dollar retreat ahead of fed meeting,business,130
"KARACHI: Pakistan International Airlines (PIA) has slashed fares for domestic travel during the holy month of Ramazan. The national flag carrier will reduce fares by 20 per cent during the hold month for passengers travelling on economy, economy plus and business classes. Passengers can purchase tickets at the reduced fares from 19 June till 14 July.",KARACHI,352,2015-06-17T00:00:00.000Z,9,pia slashes fares for domestic travel during ramaz,business,184
"Singapore: Crude prices and most commodities rebounded in Asia Tuesday but remained under pressure following a global sell-off triggered by mounting fears over China´s faltering economy, the world´s top user of industrial metals and energy.US benchmark West Texas Intermediate (WTI) for October delivery was trading at $38.67 in mid-morning Asian trade after closing at $38.24 a barrel on the New York Mercantile Exchange, its first below-$40 close since February 2009.Brent North Sea crude for October, the international benchmark, was at $43.13 a barrel after closing at $42.69 a barrel in London, its lowest level since March 2009.The Bloomberg Commodity Index, which tracks 22 raw materials, was up 0.58 percent to 86.3507, after losing 2.2 percent on Monday to close at its lowest point since August 1999.""There is some stability in crude and commodities in Asian trading after the global rout but I am not holding my breath that it will last,"" said Bernard Aw, market strategist at IG Markets in Singapore.""The main catalyst for the market today will be if and when the Chinese authorities are going to intervene further to stabilise the volatility in the equities market,"" he told AFP.""Market participants remained gripped by fear... Slowing global growth, commodity slumps, deflation risks, Chinese slowdown, timing of the Fed hike are all possible drivers of fear,"" he added.World equity markets have seen some $5 trillion wiped off their value since China´s surprise devaluation of the yuan on August 11 added to fears the world´s second-largest economy is weaker than had been thought.Chinese shares have been extremely volatile since a huge debt-fuelled rally, which saw the market rise 150 percent in 12 months, collapsed in mid-June prompting Beijing to unleash unprecedented measures to support the equity market.Investors are fearful that China´s faltering economy will curb demand for industrial materials that have helped feed its astonishing growth rate in recent years.On oil markets, a drop in buying from China, the number-one energy importer could be catastrophic at a time when international markets are already heavily oversupplied and could soon see resurgent production from Iran after its nuclear deal.""None of the support for oil are holding strong enough to reverse the current bearish momentum,"" said Daniel Ang, investment analyst at Phillip Futures in Singapore.""We believe that the lows of $32.40 and $36.20 for WTI and Brent could be a floor and would think that prices should hold there,"" Ang added.Gold prices remained steady, boosted by prospects of increased demand due to its status as a safe bet in times of turmoil.Bullion for immediate delivery rose 0.1 percent to $1,156.01 an ounce in Singapore morning trade, according to Bloomberg generic pricing, after declining 0.5 percent on Monday.Resources stocks recovered slightly after tumbling on Monday. BHP Billiton was trading 1.40 percent higher at Aus$23.20 while Fortescue was up 8.56 percent to Aus$1.77.",Singapore,3001,2015-08-25T00:00:00.000Z,9,commodities recover ground after china led rou,business,257
"LAHORE: Putting  stout defence of the solar power projects, Punjab Chief Minister Shahbaz Sharif has said his government has saved Rs2 billion by cutting the cost of Quaid-e-Azam Solar Power Park project.He said efforts were made to make the project controversial, adding that the government not only reduced the cost but also setup the project within six months.The chief minister said since his government believes in transparency, it plans to conduct the audit of the Nandipur Power project through an international company after facing the allegations of corruption. Sahbaz Sharif said prevailing energy crises would largely be overcome by the end of 2017.",LAHORE,660,2015-09-09T00:00:00.000Z,9,cost of quaid e azam solar power project cut by rs2bn shahbaz,business,277
"Singapore: Oil prices were mixed in Asia Monday ahead of a US interest rate decision, with weak demand in an oversupplied market keeping a lid on any gains.US benchmark West Texas Intermediate for October delivery was up five cents at $44.68 and Brent crude for October fell 16 cents to $47.98 in late-morning trade.The cost of the black gold tumbled last week after Goldman Sachs slashed its price forecasts for next year in the face of a larger-than-expected glut.Sanjeev Gupta, head of the Asia Pacific oil and gas practice at professional services firm EY said prices will remain volatile on concerns ""over demand growth not being sufficient to absorb excess supply"".Weak demand from China, the world´s top energy consumer, is also weighing on the market, he said, following another round of weak data on the world´s number two economy at the weekend.Gupta said dealers are focusing on the Federal Reserve´s rate meeting that ends Thursday.While expectations are for a rise by the end of the year, the bank´s decision has been made complicated by the recent turmoil across the globe caused by the Chinese economic crisis.Higher US interest rates will boost the US currency, making dollar-priced oil more expensive for holders of other units, hurting demand and prices.""For now, the market appears willing to give in to the Fed´s well telegraphed intention to hike in 2015 but remains doubtful of more hikes thereafter,"" DBS Bank said in a market commentary.""The (dollar) could reassert itself if Fed Chair Janet Yellen turns out to be more optimistic than expected and reinforces her colleagues´ recent message that the Fed will be gradual and cautious in normalising monetary policy.""Oil prices have plunged from peaks of more than $100 a barrel in June 2014 as global supply outpaced demand.",Singapore,1797,2015-09-14T00:00:00.000Z,9,oil prices mixed in asian trad,business,289
"Tokyo: The dollar eased against most currencies in Asia early Thursday after surging at the start of the week, while a strong unemployment reading boosted the Australian dollar.The Aussie surged more than one percent against the greenback, as government data showed the country´s October jobless rate fell to a better-than-expected 5.9 percent.Investors moved into high-yield, or riskier, emerging currencies as they await speeches by Federal Reserve chief Janet Yellen and other US central bank policymakers for hints about their plans for US interest rates.With US economic data showing improvement, the Fed is considering hiking rates next month, at the same time as other central banks -- including in Europe and Japan -- are mulling further loosening as growth at home struggles.""Divergence in monetary policy is creating an even choppier investment environment,"" Michael McCarthy, chief market strategist at CMC Markets Plc, told Bloomberg News. ""The futures market is indicating that it´s more likely than not that we´ll see the Fed raise rates in December. Expectations of further easing in China are high because there´s been a demonstrated responsiveness among policy makers to the weakening economy.""The dollar has given up some of its strength in previous days after last week´s US jobs report boosted expectations Fed policymakers will hike rates for the first time in nine years at their next meeting.This week, a lot of the rate hike speculation has already been priced in, Koji Fukaya, chief executive officer at FPG Securities Co, told Bloomberg News.""Emerging and commodities currencies have more scope to react to positive news as they have priced in negative news,"" Fukaya said.""These currencies have been sold off, making some breathing space to recover when there (is) positive news.""In Tokyo trade Thursday Indonesian rupiah tacked on 0.2 percent, the South Korean won added 0.1 percent and the Malaysian ringgit was up 0.05 percent. The Taiwan dollar was up 0.2 percent and the Thai baht was also higher.Emerging units have climbed in Asia for the past three days after taking a hammering in response to the US jobs figures.The euro advanced to $1.0764 and 132.34 yen from $1.0741 and 131.94 yen. But the dollar rose to 122.95 yen from 122.84 yen Wednesday in New York.",Tokyo,2293,2015-11-12T00:00:00.000Z,9,us dollar slips as aussie lifted by jobs d,business,349
