text,product_category
Thanks for the product. It was exactly as described and exactly what I was looking for. Great quality and I look forward to ordering more in the future.,Cell Phones and Accessories
"I saw him almost win the American Idol on whichever year it was.  I have watched him on different shows and read about him on the entertainment pages.  Yes he is a little out there sometimes, but he can sing!",Digital Music
"Very good quality filament. Surface texture is as expected, feeds well and extrudes well. I'm buying more. Recommend it.

Bruce",Industrial and Scientific
I have tried the cheaper carts and they do not do well.  These are priced lower than most and they work well.,Office Products
"I purchased this to sit on a shelf of a floor lamp, to complete my Tiki/Pirate/Polynesian/Asian themed décor, and it does exactly what I had hoped it would do.  The photo DOES NOT do justice to the floor lamp...it really is beautiful, as well.",Toys and Games
"Truck shell was cracked upon arrival
The suspension arms of the terremoto seem to have way to much play in them ... shock towers amd other seemingly weak points.
Straight drivin becomes even more challenging at speed.
it seems like it can take a beating but i would not get carried away.
Ran through some water no issues
Light bashing so far no issues",Toys and Games
Not bad but super not durable! After only a couple days the strap broke and the only thing really good about it is that it does protect the phone.,Cell Phones and Accessories
These are basically crap..... Not ONE of them actually CHARGES my phone or tablet... Unless it's overnight..... My phone dies while plugged in if I'm doing ANYTHING on my phone while it charges with these.... Definately do NOT recommend,Cell Phones and Accessories
"Synth beats, smoking weed, beetches, sampling. I was hoping to find something new and intriguing but I found the same old same old. Not trying to hate, but I was disappointed. Dude can flow, but the message is the same.",Digital Music
like all the versions - but be careful - not for young ears...there are some 'bad words' and 'terms' they should not hear but cute for adults.,Digital Music
"A nice alternative to spending more money at the Verizon or Apple store, and it works exactly the same, so I'm sold!",Electronics
With the constant changes in connections this little item made the transition to my dual monitor system much easier. The price was extremely good and the quality of the adapter was great.,Electronics
excellent product.  I especially like the feature of being able to charge from a separate power source; like a computer.  the feature of the port for charging other items from this fan is unique.,Electronics
The magnetic attachment is much more convenient than attempting to hook the tag over the mirror.  This is especially important since the new tags are made from thinner material and tend to be rather limp.,Industrial and Scientific
I bought these bearings as replacements for the ones supplied with my 3D printer kit as they made a lot of noise.  I've replaced those on my Y axis and there is absolutely no noise now!  I read reviews elsewhere that recommenced these and now I too can recommend them! They fit my mounts perfectly and slid effortlessly.,Industrial and Scientific
I make sure I have one of these at every job I go to. This is super comfortable and supportive and it's big enough that I don't run out of space on the mouse pad.,Office Products
this is perfect for what i needed! its thin cork on top of cardboard. but HONESTLY it works just fine and i have had NO issues. it gets heavy use in my place. and is doing just fine!,Office Products
"just what we expected to protect our computer and it has done a good job so far, nothing fancy and we still have some minor problems with junk that needs cleaning, maybe from norton",Software
"Don't know know I ever got by without it. 10 plus years, but wish I could have stuck with older version, I really don't need all the other bells and whistles that come with it. I had to upgrade so I could download credit card charges",Software
I wasn't a fan of the ribbon when MS first introduced that.  I think they've fixed some of the things that still bothered me with this version.  If I could just get them to upgrade to this at work I'd be set!!,Software
I was very disappointed in this.  The elephant plays a song.  Not sure why it doesn't make elephant noises but they could have done so much more with these bigger animals.,Toys and Games
